Generated 670000   programs,  absolute time: 0:16:47.956335,  relative time: 0:00:15.164591
Generated 670000   programs,  absolute time: 0:16:47.956802,  relative time: 0:00:00.000467
Generated 670000   programs,  absolute time: 0:16:47.957442,  relative time: 0:00:00.000640
Generated 670000   programs,  absolute time: 0:16:47.957854,  relative time: 0:00:00.000412
Generated 680000   programs,  absolute time: 0:17:03.054351,  relative time: 0:00:15.096497
Generated 680000   programs,  absolute time: 0:17:03.054735,  relative time: 0:00:00.000384
Generated 680000   programs,  absolute time: 0:17:03.055101,  relative time: 0:00:00.000366
Generated 680000   programs,  absolute time: 0:17:03.055499,  relative time: 0:00:00.000398
Generated 680000   programs,  absolute time: 0:17:03.055903,  relative time: 0:00:00.000404
Generated 690000   programs,  absolute time: 0:17:18.295088,  relative time: 0:00:15.239185
Generated 700000   programs,  absolute time: 0:17:33.215948,  relative time: 0:00:14.920860
Generated 710000   programs,  absolute time: 0:17:48.293956,  relative time: 0:00:15.078008
Generated 720000   programs,  absolute time: 0:18:03.227504,  relative time: 0:00:14.933548
Generated 720000   programs,  absolute time: 0:18:03.227863,  relative time: 0:00:00.000359
Generated 720000   programs,  absolute time: 0:18:03.228262,  relative time: 0:00:00.000399
Generated 720000   programs,  absolute time: 0:18:03.228845,  relative time: 0:00:00.000583
Generated 730000   programs,  absolute time: 0:18:18.110343,  relative time: 0:00:14.881498
Generated 730000   programs,  absolute time: 0:18:18.110769,  relative time: 0:00:00.000426
Generated 730000   programs,  absolute time: 0:18:18.111178,  relative time: 0:00:00.000409
Generated 730000   programs,  absolute time: 0:18:18.111568,  relative time: 0:00:00.000390
Generated 730000   programs,  absolute time: 0:18:18.111989,  relative time: 0:00:00.000421
Generated 730000   programs,  absolute time: 0:18:18.112398,  relative time: 0:00:00.000409
Generated 730000   programs,  absolute time: 0:18:18.112799,  relative time: 0:00:00.000401
Generated 730000   programs,  absolute time: 0:18:18.113217,  relative time: 0:00:00.000418
Generated 730000   programs,  absolute time: 0:18:18.113793,  relative time: 0:00:00.000576
Generated 740000   programs,  absolute time: 0:18:33.306283,  relative time: 0:00:15.192490
Generated 750000   programs,  absolute time: 0:18:48.454446,  relative time: 0:00:15.148163
Generated 750000   programs,  absolute time: 0:18:48.454904,  relative time: 0:00:00.000458
Generated 750000   programs,  absolute time: 0:18:48.455286,  relative time: 0:00:00.000382
Generated 750000   programs,  absolute time: 0:18:48.455679,  relative time: 0:00:00.000393
Generated 760000   programs,  absolute time: 0:19:03.607346,  relative time: 0:00:15.151667
Generated 760000   programs,  absolute time: 0:19:03.607795,  relative time: 0:00:00.000449
Generated 770000   programs,  absolute time: 0:19:18.672177,  relative time: 0:00:15.064382
Generated 770000   programs,  absolute time: 0:19:18.672591,  relative time: 0:00:00.000414
Generated 780000   programs,  absolute time: 0:19:33.733503,  relative time: 0:00:15.060912
Generated 780000   programs,  absolute time: 0:19:33.733953,  relative time: 0:00:00.000450
Generated 790000   programs,  absolute time: 0:19:48.780655,  relative time: 0:00:15.046702
Generated 800000   programs,  absolute time: 0:20:04.111158,  relative time: 0:00:15.330503
Generated 800000   programs,  absolute time: 0:20:04.111599,  relative time: 0:00:00.000441
Generated 810000   programs,  absolute time: 0:20:19.050668,  relative time: 0:00:14.939069
Generated 810000   programs,  absolute time: 0:20:19.051163,  relative time: 0:00:00.000495
Generated 810000   programs,  absolute time: 0:20:19.051516,  relative time: 0:00:00.000353
Generated 810000   programs,  absolute time: 0:20:19.051907,  relative time: 0:00:00.000391
Generated 810000   programs,  absolute time: 0:20:19.052300,  relative time: 0:00:00.000393
Generated 810000   programs,  absolute time: 0:20:19.052686,  relative time: 0:00:00.000386
Generated 810000   programs,  absolute time: 0:20:19.053103,  relative time: 0:00:00.000417
Generated 810000   programs,  absolute time: 0:20:19.053540,  relative time: 0:00:00.000437
Generated 810000   programs,  absolute time: 0:20:19.053860,  relative time: 0:00:00.000320
Generated 810000   programs,  absolute time: 0:20:19.054250,  relative time: 0:00:00.000390
Generated 810000   programs,  absolute time: 0:20:19.054681,  relative time: 0:00:00.000431
Generated 810000   programs,  absolute time: 0:20:19.055069,  relative time: 0:00:00.000388
Generated 820000   programs,  absolute time: 0:20:34.146730,  relative time: 0:00:15.091661
