Generated 760000  programs,  absolute time: 0:13:15.139235,  relative time: 0:00:00.000398
Generated 760000  programs,  absolute time: 0:13:15.139583,  relative time: 0:00:00.000348
Generated 770000  programs,  absolute time: 0:13:24.763351,  relative time: 0:00:09.623768
Generated 780000  programs,  absolute time: 0:13:34.361715,  relative time: 0:00:09.598364
Generated 790000  programs,  absolute time: 0:13:43.951640,  relative time: 0:00:09.589925
Generated 790000  programs,  absolute time: 0:13:43.952022,  relative time: 0:00:00.000382
Generated 800000  programs,  absolute time: 0:13:53.598471,  relative time: 0:00:09.646449
Generated 800000  programs,  absolute time: 0:13:53.598864,  relative time: 0:00:00.000393
Generated 800000  programs,  absolute time: 0:13:53.599197,  relative time: 0:00:00.000333
Generated 810000  programs,  absolute time: 0:14:03.183540,  relative time: 0:00:09.584343
Generated 810000  programs,  absolute time: 0:14:03.183948,  relative time: 0:00:00.000408
Generated 820000  programs,  absolute time: 0:14:12.937194,  relative time: 0:00:09.753246
Generated 830000  programs,  absolute time: 0:14:22.549318,  relative time: 0:00:09.612124
Generated 840000  programs,  absolute time: 0:14:32.200336,  relative time: 0:00:09.651018
Generated 840000  programs,  absolute time: 0:14:32.200757,  relative time: 0:00:00.000421
Generated 840000  programs,  absolute time: 0:14:32.201333,  relative time: 0:00:00.000576
Generated 850000  programs,  absolute time: 0:14:41.750898,  relative time: 0:00:09.549565
Generated 850000  programs,  absolute time: 0:14:41.751264,  relative time: 0:00:00.000366
Generated 850000  programs,  absolute time: 0:14:41.751589,  relative time: 0:00:00.000325
Generated 860000  programs,  absolute time: 0:14:51.325507,  relative time: 0:00:09.573918
Generated 860000  programs,  absolute time: 0:14:51.325928,  relative time: 0:00:00.000421
Generated 870000  programs,  absolute time: 0:15:00.948099,  relative time: 0:00:09.622171
Generated 880000  programs,  absolute time: 0:15:10.512647,  relative time: 0:00:09.564548
Generated 880000  programs,  absolute time: 0:15:10.512955,  relative time: 0:00:00.000308
Generated 880000  programs,  absolute time: 0:15:10.513327,  relative time: 0:00:00.000372
Generated 890000  programs,  absolute time: 0:15:20.070376,  relative time: 0:00:09.557049
Generated 900000  programs,  absolute time: 0:15:29.767242,  relative time: 0:00:09.696866
Generated 900000  programs,  absolute time: 0:15:29.767657,  relative time: 0:00:00.000415
Generated 910000  programs,  absolute time: 0:15:39.417459,  relative time: 0:00:09.649802
Generated 920000  programs,  absolute time: 0:15:49.043461,  relative time: 0:00:09.626002
Generated 930000  programs,  absolute time: 0:15:58.717096,  relative time: 0:00:09.673635
Generated 930000  programs,  absolute time: 0:15:58.717485,  relative time: 0:00:00.000389
Generated 930000  programs,  absolute time: 0:15:58.717872,  relative time: 0:00:00.000387
Generated 930000  programs,  absolute time: 0:15:58.718226,  relative time: 0:00:00.000354
Generated 930000  programs,  absolute time: 0:15:58.718657,  relative time: 0:00:00.000431
Generated 930000  programs,  absolute time: 0:15:58.719074,  relative time: 0:00:00.000417
Generated 940000  programs,  absolute time: 0:16:08.397913,  relative time: 0:00:09.678839
Generated 950000  programs,  absolute time: 0:16:17.996015,  relative time: 0:00:09.598102
Generated 960000  programs,  absolute time: 0:16:27.705196,  relative time: 0:00:09.709181
Generated 960000  programs,  absolute time: 0:16:27.705597,  relative time: 0:00:00.000401
Generated 970000  programs,  absolute time: 0:16:37.497415,  relative time: 0:00:09.791818
Generated 980000  programs,  absolute time: 0:16:47.456848,  relative time: 0:00:09.959433
Generated 980000  programs,  absolute time: 0:16:47.457242,  relative time: 0:00:00.000394
Generated 990000  programs,  absolute time: 0:16:57.176227,  relative time: 0:00:09.718985
